epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,2811.25,0.70771,0.61569,1.20656,0.71789,0.77357,0.79648,0.59608,0.97169,0.95123,1.50743,8.51333e-05,8.51333e-05,8.51333e-05
40,2884.71,0.70453,0.61099,1.2043,0.75621,0.75001,0.78944,0.58476,0.97137,0.96323,1.52742,8.43851e-05,8.43851e-05,8.43851e-05
41,2957.39,0.70974,0.60345,1.2045,0.76153,0.74827,0.78923,0.59828,0.94402,0.96454,1.495,8.3622e-05,8.3622e-05,8.3622e-05
42,3029.76,0.70372,0.59474,1.2028,0.7745,0.74103,0.78635,0.58498,0.94965,0.97814,1.50278,8.28443e-05,8.28443e-05,8.28443e-05
43,3101.49,0.69573,0.59372,1.20363,0.75984,0.74445,0.79234,0.58796,0.95241,0.9403,1.52125,8.20525e-05,8.20525e-05,8.20525e-05
44,3174,0.67945,0.57704,1.18888,0.72978,0.78607,0.79588,0.59786,0.94383,0.93838,1.49553,8.12468e-05,8.12468e-05,8.12468e-05
45,3247.11,0.68037,0.57722,1.1839,0.74392,0.78897,0.80082,0.59793,0.94428,0.91245,1.51572,8.04277e-05,8.04277e-05,8.04277e-05
46,3319.6,0.6652,0.56252,1.16635,0.74976,0.75825,0.79339,0.59288,0.94546,0.96712,1.52225,7.95954e-05,7.95954e-05,7.95954e-05
47,3392.47,0.67234,0.5708,1.17801,0.76898,0.72937,0.78637,0.58577,0.96479,0.96752,1.53371,7.87503e-05,7.87503e-05,7.87503e-05
48,3464.96,0.66615,0.55968,1.1642,0.77276,0.75038,0.79152,0.59106,0.95227,0.95497,1.53265,7.78929e-05,7.78929e-05,7.78929e-05
49,3537.29,0.65907,0.55801,1.16642,0.7577,0.77522,0.79657,0.59128,0.96147,0.95235,1.53407,7.70234e-05,7.70234e-05,7.70234e-05
50,3609.48,0.65052,0.54064,1.1572,0.76543,0.74572,0.79098,0.59179,0.95287,0.97373,1.52499,7.61423e-05,7.61423e-05,7.61423e-05
51,3681.84,0.65502,0.54515,1.16038,0.78625,0.74572,0.79166,0.58381,0.96826,0.97469,1.53725,7.525e-05,7.525e-05,7.525e-05
52,3753.54,0.64698,0.54559,1.15325,0.76658,0.77016,0.79915,0.60014,0.95609,0.94788,1.5315,7.43468e-05,7.43468e-05,7.43468e-05
53,3825.78,0.63973,0.52514,1.14446,0.75761,0.77609,0.79585,0.59573,0.94579,0.97232,1.52669,7.34332e-05,7.34332e-05,7.34332e-05
54,3897.34,0.63722,0.52761,1.15078,0.7806,0.75905,0.79734,0.6001,0.95301,0.97436,1.53252,7.25094e-05,7.25094e-05,7.25094e-05
55,3968.3,0.63287,0.52238,1.14337,0.78251,0.75513,0.80747,0.60015,0.97147,0.93928,1.5557,7.15761e-05,7.15761e-05,7.15761e-05
56,4039.5,0.63982,0.52583,1.14362,0.76105,0.75954,0.7898,0.59191,0.96789,1.01956,1.55568,7.06335e-05,7.06335e-05,7.06335e-05
57,4110.54,0.62805,0.51333,1.14263,0.75439,0.77439,0.80028,0.59636,0.96246,0.95997,1.53096,6.9682e-05,6.9682e-05,6.9682e-05
58,4181.33,0.63088,0.5152,1.13948,0.77556,0.7726,0.80641,0.59989,0.96205,0.98126,1.56527,6.87222e-05,6.87222e-05,6.87222e-05
59,4252.63,0.62159,0.50486,1.13481,0.75012,0.78912,0.80375,0.59471,0.96276,0.98032,1.56312,6.77543e-05,6.77543e-05,6.77543e-05
60,4323.02,0.62463,0.50257,1.12812,0.77877,0.7645,0.80769,0.59661,0.96949,0.97058,1.56383,6.67789e-05,6.67789e-05,6.67789e-05
61,4393.52,0.61136,0.50594,1.1276,0.76473,0.77596,0.79558,0.59213,0.96339,1.01073,1.56038,6.57963e-05,6.57963e-05,6.57963e-05
62,4464.61,0.6013,0.49942,1.11958,0.76181,0.78019,0.80865,0.60122,0.96762,0.95997,1.56249,6.48071e-05,6.48071e-05,6.48071e-05
63,4535.76,0.59726,0.48657,1.11803,0.7663,0.77915,0.8003,0.596,0.96802,1.00888,1.57614,6.38115e-05,6.38115e-05,6.38115e-05
64,4605.9,0.58955,0.48614,1.11638,0.79499,0.75223,0.80367,0.59747,0.96069,0.99823,1.56734,6.28101e-05,6.28101e-05,6.28101e-05
65,4676.98,0.59489,0.47579,1.09999,0.76851,0.76565,0.79719,0.59282,0.97362,1.01547,1.56594,6.18034e-05,6.18034e-05,6.18034e-05
66,4748.14,0.58591,0.47577,1.10369,0.76283,0.76068,0.79075,0.59249,0.96218,1.00015,1.57786,6.07916e-05,6.07916e-05,6.07916e-05
67,4819.68,0.57985,0.46079,1.09667,0.78755,0.7736,0.80409,0.60017,0.97473,0.99592,1.57884,5.97754e-05,5.97754e-05,5.97754e-05
68,4891.01,0.57947,0.45656,1.09709,0.78469,0.75661,0.80721,0.60254,0.96446,0.98962,1.58142,5.87551e-05,5.87551e-05,5.87551e-05
69,4962.02,0.56696,0.46187,1.08849,0.77917,0.76186,0.79888,0.59464,0.97151,1.01947,1.58689,5.77311e-05,5.77311e-05,5.77311e-05
70,5032.79,0.56668,0.45668,1.09356,0.75537,0.76898,0.79138,0.5879,0.97794,1.02543,1.59606,5.6704e-05,5.6704e-05,5.6704e-05
71,5103.44,0.56883,0.45008,1.09313,0.77781,0.76546,0.79896,0.59791,0.96521,1.02561,1.57747,5.56742e-05,5.56742e-05,5.56742e-05
72,5174.25,0.55909,0.44003,1.08832,0.77035,0.76883,0.79698,0.59055,0.97325,1.03398,1.60987,5.46421e-05,5.46421e-05,5.46421e-05
73,5244.73,0.54979,0.44188,1.08213,0.76538,0.75784,0.79353,0.59509,0.96943,1.03175,1.59454,5.36081e-05,5.36081e-05,5.36081e-05
